Barack Obama (I)D 2012,Change in D%,Change in R%,Change in total votes 2016 to 2012,Clinton %,County,Donald J. Trump (Rep),Gary Johnson (L) 2012,Gary Johnson (Lib),Hillary Clinton (Dem),Johnson % 1,Johnson %,Mitt Romney 2012,Number of Records,Obama %,Romney %,State,Total 2012,Total 2016,Trump %,Trump - Clinton tableau,Vote % change 2016 to 2012
1141,-0.064394232,0.05663134,-50,24.30%,Irwin,2711,30,58,890,0.80%,1.60%,2538,1,30.80%,68.40%,Georgia,3709,3659,74.10%,0.497676961,-0.013480723
4238,-0.013754432,-0.003854827,3371,16.50%,Jackson,21754,313,834,4469,1.30%,3.10%,19135,1,17.90%,80.80%,Georgia,23686,27057,80.40%,0.63883653,0.142320358
1845,-0.04927048,0.037780394,-15,25.70%,Jasper,4353,50,119,1544,0.80%,2.00%,4136,1,30.60%,68.60%,Georgia,6031,6016,72.40%,0.466921543,-0.00248715
1275,-0.061894492,0.057176707,-247,17.70%,Jeff Davis,4102,65,86,901,1.20%,1.70%,3996,1,23.90%,74.90%,Georgia,5336,5089,80.60%,0.629003734,-0.046289355
4261,-0.034536411,0.029936567,-364,54.90%,Jefferson,3057,38,68,3809,0.50%,1.00%,2999,1,58.40%,41.10%,Georgia,7298,6934,44.10%,-0.10845111,-0.049876679
1488,-0.07374359,0.066962041,-356,36.50%,Jenkins,1892,15,34,1108,0.40%,1.10%,1887,1,43.90%,55.70%,Georgia,3390,3034,62.40%,0.258404746,-0.105014749
1305,-0.037442334,0.037267369,-90,30.90%,Johnson,2519,27,27,1136,0.70%,0.70%,2440,1,34.60%,64.70%,Georgia,3772,3682,68.40%,0.375611081,-0.023860021
4274,-0.036884331,0.023311303,419,31.60%,Jones,8304,87,260,3960,0.70%,2.10%,7744,1,35.30%,64.00%,Georgia,12105,12524,66.30%,0.34685404,0.034613796
2602,-0.043455261,0.038939912,-17,29.90%,Lamar,5183,91,125,2267,1.20%,1.70%,4899,1,34.30%,64.50%,Georgia,7592,7575,68.40%,0.384950495,-0.002239199
1114,-0.093461613,0.08108159,-111,28.10%,Lanier,1984,38,72,805,1.30%,2.50%,1820,1,37.50%,61.20%,Georgia,2972,2861,69.30%,0.412093674,-0.037348587
7513,-0.036924942,0.02792413,-151,34.60%,Laurens,12401,136,310,6737,0.70%,1.60%,11950,1,38.30%,61.00%,Georgia,19599,19448,63.80%,0.291238174,-0.007704475
3196,-0.01021142,-0.002908876,486,22.40%,Lee,10641,110,299,3166,0.80%,2.10%,10314,1,23.50%,75.70%,Georgia,13620,14106,75.40%,0.529916348,0.035682819
10457,-0.054081232,0.03668346,-87,59.30%,Liberty,6125,147,426,9531,0.90%,2.60%,5565,1,64.70%,34.40%,Georgia,16169,16082,38.10%,-0.211789578,-0.005380667
1586,-0.048337099,0.03871987,-326,31.00%,Lincoln,2759,33,70,1271,0.70%,1.70%,2807,1,35.80%,63.40%,Georgia,4426,4100,67.30%,0.362926829,-0.073655671
1442,-0.049466383,0.031512726,309,33.00%,Long,2623,52,130,1356,1.40%,3.20%,2306,1,37.90%,60.70%,Georgia,3800,4109,63.80%,0.30834753,0.081315789
17470,-0.049595314,0.033648554,-2307,39.70%,Lowndes,21308,323,891,14614,0.80%,2.40%,21327,1,44.70%,54.50%,Georgia,39120,36813,57.90%,0.181837938,-0.058972393
2055,-0.00875496,-0.013425619,1426,18.00%,Lumpkin,9613,196,495,2216,1.80%,4.00%,8647,1,18.90%,79.30%,Georgia,10898,12324,78.00%,0.60021097,0.130849697
3211,-0.040639443,0.036071414,-494,63.10%,Macon,1540,25,42,2705,0.50%,1.00%,1545,1,67.20%,32.30%,Georgia,4781,4287,35.90%,-0.271751808,-0.103325664
2494,-0.022061187,0.008392993,856,20.30%,Madison,9195,152,327,2423,1.40%,2.70%,8443,1,22.50%,76.10%,Georgia,11089,11945,77.00%,0.566931771,0.077193615
1412,-0.064338843,0.056830996,13,38.10%,Marion,1921,25,49,1213,0.80%,1.50%,1733,1,44.50%,54.70%,Georgia,3170,3183,60.40%,0.222431668,0.004100946
4044,-0.022618001,0.015135986,-321,39.90%,McDuffie,5432,70,137,3699,0.70%,1.50%,5475,1,42.20%,57.10%,Georgia,9589,9268,58.60%,0.186987484,-0.033475858
2864,-0.061709593,0.05325816,-448,39.00%,McIntosh,3482,68,113,2298,1.10%,1.90%,3409,1,45.20%,53.80%,Georgia,6341,5893,59.10%,0.200916341,-0.070651317
4331,-0.053660838,0.043893625,-82,41.40%,Meriwether,5216,76,165,3800,0.80%,1.80%,4856,1,46.80%,52.40%,Georgia,9263,9181,56.80%,0.154231565,-0.008852424
852,-0.062145137,0.0568206,-235,24.50%,Miller,1888,18,30,622,0.60%,1.20%,1905,1,30.70%,68.60%,Georgia,2775,2540,74.30%,0.498425197,-0.084684685
4081,-0.048727761,0.041604173,-418,44.40%,Mitchell,4272,39,93,3492,0.50%,1.20%,4155,1,49.30%,50.20%,Georgia,8275,7857,54.40%,0.099274532,-0.050513595
3785,-0.026718623,0.01474086,401,28.20%,Monroe,8821,128,284,3570,1.00%,2.20%,8361,1,30.80%,68.10%,Georgia,12274,12675,69.60%,0.414280079,0.032670686
